syntax-test-p,negative-syntax-test-p,query-evaluation-test-p,type,suite,collection,name,failedp,implementedp,parsing-succeeded-p,translation-succeeded-p,initialization-succeeded-p,rule-type,different-semantics-p,running-succeeded-p,comparing-succeeded-p
True,False,True,QueryEvaluationTest,data-r2,algebra,join-combo-2,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,algebra,opt-filter-3,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,algebra,filter-nested-2,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,algebra,join-scope-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,ask,ask-1,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,ask,ask-4,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,ask,ask-7,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,ask,ask-8,True,True,True,True,True,ASK,False,True,False
True,False,True,QueryEvaluationTest,data-r2,basic,bgp-no-match,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,basic,term-6,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,basic,term-7,True,True,False,False,False,,False,,
True,False,True,QueryEvaluationTest,data-r2,bnode-coreference,dawg-bnode-coref-001,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,boolean-effective-value,dawg-boolean-literal,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,boolean-effective-value,dawg-bev-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,boolean-effective-value,dawg-bev-2,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,boolean-effective-value,dawg-bev-3,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,boolean-effective-value,dawg-bev-4,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,boolean-effective-value,dawg-bev-5,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,boolean-effective-value,dawg-bev-6,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,bound,dawg-bound-query-001,True,True,True,True,True,SELECT,False,True,False
