syntax-test-p,negative-syntax-test-p,query-evaluation-test-p,type,suite,collection,name,failedp,implementedp,parsing-succeeded-p,translation-succeeded-p,initialization-succeeded-p,rule-type,different-semantics-p,running-succeeded-p,comparing-succeeded-p,time
True,False,True,QueryEvaluationTest,data-r2,cast,cast-flt,True,False,True,True,True,SELECT,False,False,,5
True,False,True,QueryEvaluationTest,data-r2,cast,cast-dbl,True,False,True,True,True,SELECT,False,False,,8
True,False,True,QueryEvaluationTest,data-r2,cast,cast-dec,True,False,True,True,True,SELECT,False,False,,6
True,False,True,QueryEvaluationTest,data-r2,cast,cast-dT,True,False,True,True,True,SELECT,False,False,,4
True,False,True,QueryEvaluationTest,data-r2,cast,cast-bool,True,False,True,True,True,SELECT,False,False,,5
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,dawg-langMatches-1,True,False,True,True,True,SELECT,False,False,,6
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,dawg-langMatches-2,True,False,True,True,True,SELECT,False,False,,5
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,dawg-langMatches-3,True,False,True,True,True,SELECT,False,False,,4
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,dawg-langMatches-4,True,False,True,True,True,SELECT,False,False,,5
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,dawg-langMatches-basic,True,False,True,True,True,SELECT,False,False,,4
True,False,True,QueryEvaluationTest,data-r2,regex,dawg-regex-001,True,False,True,True,True,SELECT,False,False,,8
True,False,True,QueryEvaluationTest,data-r2,regex,dawg-regex-002,True,False,True,True,True,SELECT,False,False,,5
True,False,True,QueryEvaluationTest,data-r2,regex,dawg-regex-003,True,False,True,True,True,SELECT,False,False,,7
True,False,True,QueryEvaluationTest,data-r2,regex,dawg-regex-004,True,False,True,True,True,SELECT,False,False,,8
True,False,True,QueryEvaluationTest,data-sparql11,aggregates,agg-err-02,True,False,True,True,True,SELECT,False,False,,22
True,False,True,UpdateEvaluationTest,data-sparql11,basic-update,insert-05a,True,False,True,True,True,MODIFY,False,False,,7
True,False,True,UpdateEvaluationTest,data-sparql11,basic-update,insert-data-same-bnode,True,False,True,True,True,MODIFY,False,False,,6
True,False,True,UpdateEvaluationTest,data-sparql11,basic-update,insert-where-same-bnode,True,False,True,True,True,MODIFY,False,False,,9
True,False,True,UpdateEvaluationTest,data-sparql11,basic-update,insert-where-same-bnode2,True,False,True,True,True,MODIFY,False,False,,8
True,False,True,CSVResultFormatTest,data-sparql11,csv-tsv-res,csv01,True,False,,,,,False,,,0
True,False,True,CSVResultFormatTest,data-sparql11,csv-tsv-res,csv02,True,False,,,,,False,,,0
True,False,True,CSVResultFormatTest,data-sparql11,csv-tsv-res,csv03,True,False,,,,,False,,,0
True,False,True,QueryEvaluationTest,data-sparql11,functions,strdt01,True,False,True,True,True,SELECT,False,False,,9
True,False,True,QueryEvaluationTest,data-sparql11,functions,strdt02,True,False,True,True,True,SELECT,False,False,,14
True,False,True,QueryEvaluationTest,data-sparql11,functions,strlang01,True,False,True,True,True,SELECT,False,False,,9
True,False,True,QueryEvaluationTest,data-sparql11,functions,strlang02,True,False,True,True,True,SELECT,False,False,,11
True,False,True,QueryEvaluationTest,data-sparql11,functions,md5-01,True,False,True,True,True,SELECT,False,False,,5
True,False,True,QueryEvaluationTest,data-sparql11,functions,md5-02,True,False,True,True,True,SELECT,False,False,,5
True,False,True,QueryEvaluationTest,data-sparql11,functions,sha1-01,True,False,True,True,True,SELECT,False,False,,5
True,False,True,QueryEvaluationTest,data-sparql11,functions,sha1-02,True,False,True,True,True,SELECT,False,False,,5
True,False,True,QueryEvaluationTest,data-sparql11,functions,sha256-01,True,False,True,True,True,SELECT,False,False,,4
True,False,True,QueryEvaluationTest,data-sparql11,functions,sha256-02,True,False,True,True,True,SELECT,False,False,,6
True,False,True,QueryEvaluationTest,data-sparql11,functions,sha512-01,True,False,True,True,True,SELECT,False,False,,6
True,False,True,QueryEvaluationTest,data-sparql11,functions,sha512-02,True,False,True,True,True,SELECT,False,False,,5
True,False,True,QueryEvaluationTest,data-sparql11,functions,replace01,True,False,True,True,True,SELECT,False,False,,7
True,False,True,QueryEvaluationTest,data-sparql11,functions,replace02,True,False,True,True,True,SELECT,False,False,,6
True,False,True,QueryEvaluationTest,data-sparql11,functions,replace03,True,False,True,True,True,SELECT,False,False,,7
False,False,False,ProtocolTest,data-sparql11,protocol,query_post_form,True,False,,,,,False,,,6
False,False,False,ProtocolTest,data-sparql11,protocol,query_dataset_default_graphs_get,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,query_dataset_default_graphs_post,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,query_dataset_named_graphs_post,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,query_dataset_named_graphs_get,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,query_dataset_full,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,query_multiple_dataset,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,query_get,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,query_content_type_select,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,query_content_type_ask,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,query_content_type_describe,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,query_content_type_construct,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,update_dataset_default_graph,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,update_dataset_default_graphs,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,update_dataset_named_graphs,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,update_dataset_full,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,update_post_form,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,update_post_direct,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,update_base_uri,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,query_post_direct,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,bad_query_method,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,bad_multiple_queries,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,bad_query_wrong_media_type,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,bad_query_missing_form_type,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,bad_query_missing_direct_type,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,bad_query_non_utf8,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,bad_query_syntax,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,bad_update_get,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,bad_multiple_updates,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,bad_update_wrong_media_type,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,bad_update_missing_form_type,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,bad_update_non_utf8,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,bad_update_syntax,True,False,,,,,False,,,0
False,False,False,ProtocolTest,data-sparql11,protocol,bad_update_dataset_conflict,True,False,,,,,False,,,0
False,False,False,ServiceDescriptionTest,data-sparql11,service-description,returns-rdf,True,False,,,,,False,,,0
False,False,False,ServiceDescriptionTest,data-sparql11,service-description,has-endpoint-triple,True,False,,,,,False,,,0
False,False,False,ServiceDescriptionTest,data-sparql11,service-description,conforms-to-schema,True,False,,,,,False,,,0
